No.,チームNo.,ユニット,会社名,自主点検対象,構成単位,会社管理番号,使用言語,進捗管理フラグ
1,チーム1,AWI本体,エア・ウォーター(株),○,○,0,JP,○
2,チーム1,連結管理室,(株)松尾ホールディングス,○,○,210100,JP,○
3,チーム1,連結管理室,(株)アーステクノ,○,,210101,JP,○
4,チーム1,連結管理室,(株)オートテック,○,,210102,JP,○
5,チーム1,連結管理室,(株)クレアス,○,,210103,JP,○
6,チーム1,連結管理室,嶋田工業(株),○,,210104,JP,○
7,チーム1,連結管理室,(株)松尾組,○,,210105,JP,○
8,チーム1,連結管理室,(株)松尾都市開発,○,,210106,JP,○
9,チーム1,連結管理室,(株)松尾道路,○,,210107,JP,○
10,チーム1,連結管理室,(株)松尾環境,○,,210108,JP,○
11,チーム1,連結管理室,大宝産業,,,,JP,
12,チーム1,デンタルケアユニット,デンケン・ハイデンタル(株),○,○,100100,JP,○
13,チーム1,デンタルケアユニット,"KDF U.S., Inc.",○,,100101,EN,○
14,チーム1,デンタルケアユニット,(株)歯愛メディカル,○,○,100200,JP,○
15,チーム1,デンタルケアユニット,(株)サクラ歯研,○,,100201,JP,○
16,チーム1,デンタルケアユニット,(株)Ciロジスティクスセンター,○,,100202,JP,○
17,チーム1,デンタルケアユニット,(株)デミライン,○,,100203,JP,○
18,チーム1,デンタルケアユニット,(株)デンタルフィット,○,,100204,JP,○
19,チーム1,デンタルケアユニット,(株)ナイキ歯研,○,,100205,JP,○
20,チーム1,デンタルケアユニット,(株)ニッセン,○,○,100206,JP,○
21,チーム1,デンタルケアユニット,(株)ニッセンホールディングス,○,,100207,JP,○
22,チーム1,デンタルケアユニット,(株)ニッセンライフ,○,,100208,JP,○
23,チーム1,デンタルケアユニット,(株)ニッセンLINX,○,,100209,JP,○
24,チーム1,デンタルケアユニット,(株)マロンスタイル,○,,100210,JP,○
25,チーム1,デンタルケアユニット,(株)RayVision,○,,100211,JP,○
26,チーム1,デンタルケアユニット,(株)白鳩,○,○,100212,JP,○
27,チーム1,デンタルケアユニット,(株)TDS,○,,100213,JP,○
28,チーム1,デンタルケアユニット,(株)クラブメディア,○,,100214,JP,○
29,チーム1,デンタルケアユニット,(株)Ciエナジー,○,,100215,JP,○
30,チーム1,デンタルケアユニット,(株)u&n,○,,100216,JP,○
31,チーム1,デンタルケアユニット,上海?尚商貿有限公司,○,,100217,JP,○
32,チーム1,デンタルケアユニット,"Ci Korea Co., Ltd",○,,100218,EN,○
33,チーム1,デンタルケアユニット,ニッセン・クレジットサービス(株),,,100219,JP,
34,チーム2,エア・ウォーター西日本(株) ,エア・ウォーター西日本(株),○,○,240000,JP,○
35,チーム2,エア・ウォーター西日本(株) ,エア・ウォーター西日本メディエス(株),○,,240100,JP,○
36,チーム2,エア・ウォーター西日本(株) ,(株)エコテック,○,,240200,JP,○
37,チーム2,エア・ウォーター西日本(株) ,福山液酸(株),○,,240300,JP,○
38,チーム2,エア・ウォーター西日本(株) ,松山酸素(株),○,○,240400,JP,○
39,チーム2,エア・ウォーター西日本(株) ,沖縄エア・ウォーター(株),○,,240500,JP,○
40,チーム2,エア・ウォーター西日本(株) ,熊本液酸(株),○,,240600,JP,○
41,チーム2,エア・ウォーター西日本(株) ,長崎液酸(株),○,,240700,JP,○
42,チーム2,エア・ウォーター西日本(株) ,(株)日本医療環境サービス,○,○,240800,JP,○
43,チーム2,エア・ウォーター西日本(株) ,(株)ニライカナイ,○,,240900,JP,○
44,チーム2,エア・ウォーター西日本(株) ,(株)南九州ガスセンター,○,,241000,JP,○
45,チーム2,エア・ウォーター西日本(株) ,(株)アイ・ジー・エム,○,,241100,JP,○
46,チーム2,エア・ウォーター西日本(株) ,(株)大牟田高圧ガスセンター,,,241200,JP,
47,チーム2,エア・ウォーター西日本(株) ,ステリフィリング九州(株),,,241300,JP,
48,チーム2,エア・ウォーター西日本(株) ,大平産業(株),,,241400,JP,
49,チーム2,エア・ウォーター西日本(株) ,(株)鳥取若葉台窒素ガスセンター,,,241500,JP,
50,チーム2,エア・ウォーター西日本(株) ,舞鶴大同ガス(株),,,241600,JP,
51,チーム2,エア・ウォーター西日本(株) ,森脇産業(株),,,241700,JP,
52,チーム2,エア・ウォーター西日本(株) ,Hyogo Gas Supply Center(株),,,240201,JP,
53,チーム2,エア・ウォーター西日本(株) ,(株)イナートガスセンター,,,240401,JP,
54,チーム3,エア・ウォーター東日本(株),エア・ウォーター東日本(株),○,○,230000,JP,○
55,チーム3,エア・ウォーター東日本(株),エア・ウォーター東日本マネジメント(株),○,,230100,JP,○
56,チーム3,エア・ウォーター東日本(株),エア・ウォーター・スマイル(株),○,,230200,JP,○
57,チーム3,エア・ウォーター東日本(株),エア・ウォーター東日本メディエス(株),○,,230300,JP,○
58,チーム3,エア・ウォーター東日本(株),エア・ウォーター・ミライ(株),○,,230400,JP,○
59,チーム3,エア・ウォーター東日本(株),岩手液酸(株),○,,230500,JP,○
60,チーム3,エア・ウォーター東日本(株),(株)大森器械店,○,○,230600,JP,○
61,チーム3,エア・ウォーター東日本(株),亀山液酸(株),○,,230700,JP,○
62,チーム3,エア・ウォーター東日本(株),相模原液酸(株),○,,230800,JP,○
63,チーム3,エア・ウォーター東日本(株),静岡液酸(株),○,,230900,JP,○
64,チーム3,エア・ウォーター東日本(株),東海液酸(株),○,,231000,JP,○
65,チーム3,エア・ウォーター東日本(株),新潟液酸(株),○,,231100,JP,○
66,チーム3,エア・ウォーター東日本(株),福島液酸(株),○,,231200,JP,○
67,チーム3,エア・ウォーター東日本(株),山形液酸(株),○,,231300,JP,○
68,チーム3,エア・ウォーター東日本(株),(株)元気,○,,231400,JP,○
69,チーム3,エア・ウォーター東日本(株),(株)関東ガスサービス,○,,231500,JP,○
70,チーム3,エア・ウォーター東日本(株),(株)伊勢ガスセンター,,,231600,JP,
71,チーム3,エア・ウォーター東日本(株),(株)エイチ・エー・ダブリュー・ガスセンター,,,231700,JP,
72,チーム3,エア・ウォーター東日本(株),岐阜エア・ウォーター(株),,,231800,JP,
73,チーム3,エア・ウォーター東日本(株),群馬総合ガスセンター(株),,,231900,JP,
74,チーム3,エア・ウォーター東日本(株),千葉総合ガスセンター(株),,,232000,JP,
75,チーム3,エア・ウォーター東日本(株),(株)東濃ガスセンター,,,232100,JP,
76,チーム3,エア・ウォーター東日本(株),東邦酸素工業(株),,,232200,JP,
77,チーム3,エア・ウォーター東日本(株),西三河ガスセンター(株),,,232300,JP,
78,チーム3,エア・ウォーター東日本(株),三国液酸(株),,,232400,JP,
79,チーム3,エア・ウォーター東日本(株),(株)環境技術センター,○,,230101,JP,○
80,チーム3,エア・ウォーター東日本(株),(株)関茂助商店,○,,230102,JP,○
81,チーム3,エア・ウォーター東日本(株),竹中運輸(株),○,,230103,JP,○
82,チーム3,エア・ウォーター東日本(株),(株)AWSつくばガスセンター,○,,230104,JP,○
83,チーム3,エア・ウォーター東日本(株),川中島ガスセンター(株),○,,230105,JP,○
84,チーム3,エア・ウォーター東日本(株),新潟ガス工業(株),○,,230106,JP,○
85,チーム3,エア・ウォーター東日本(株),山梨ガスセンター(株),○,,230107,JP,○
86,チーム3,エア・ウォーター東日本(株),青果流通機構(株),,,231401,JP,
87,チーム4,エア・ウォーター北海道(株) ,エア・ウォーター北海道(株),○,○,220000,JP,○
88,チーム4,エア・ウォーター北海道(株) ,エア・ウォーター産業・医療ガス（株）,○,○,220100,JP,○
89,チーム4,エア・ウォーター北海道(株) ,エア・ウォーター・ライフソリューション(株),○,○,220200,JP,○
90,チーム4,エア・ウォーター北海道(株) ,エア・ウォーター・ラボアンドフーズ(株),○,,220300,JP,○
91,チーム1,デンタルケアユニット,(株)札幌デンタル・ラボラトリー,○,○,220400,JP,○
92,チーム4,エア・ウォーター北海道(株) ,(株)ホクエイ,○,○,220500,JP,○
93,チーム4,エア・ウォーター北海道(株) ,(株)北海道総合ガスセンター,○,,220600,JP,○
94,チーム4,エア・ウォーター北海道(株) ,小樽ガスセンター(株),,,220700,JP,
95,チーム4,エア・ウォーター北海道(株) ,(株)オートガスステーション札幌(解散中),,,220800,JP,
96,チーム4,エア・ウォーター北海道(株) ,伊並産業(株),○,,220101,JP,○
97,チーム4,エア・ウォーター北海道(株) ,旭川エナジック(株),,,220201,JP,
98,チーム4,エア・ウォーター北海道(株) ,空知エナジック(株),,,220202,JP,
99,チーム4,エア・ウォーター北海道(株) ,滝川ガス(株),,,220203,JP,
100,チーム4,エア・ウォーター北海道(株) ,函館エナジック(株),,,220204,JP,
101,チーム5,グローバルエンジニアリングユニット,エア・ウォーター・エンジニアリング(株),○,○,40100,JP,○
102,チーム5,グローバルエンジニアリングユニット,AIR WATER INDIA PRIVATE LIMITED,○,○,40200,EN,○
103,チーム5,グローバルエンジニアリングユニット,"AIR WATER VIETNAM CO., LTD.",○,○,40300,EN,○
104,チーム5,グローバルエンジニアリングユニット,AIR WATER AMERICA INC.,○,○,40400,EN,○
105,チーム5,グローバルエンジニアリングユニット,Power Partners Private Limited,○,○,40600,EN,○
106,チーム5,グローバルエンジニアリングユニット,M1 Engineering Holdings Limited,○,,40700,EN,○
107,チーム5,グローバルエンジニアリングユニット,Taylor-Wharton Malaysia Sdn. Bhd.,○,○,40800,EN,○
108,チーム5,グローバルエンジニアリングユニット,?沃特气体 (厦?) 有限公司 ,○,,40900,EN,○
109,チーム5,グローバルエンジニアリングユニット,AIR WATER GAS SOLUTIONS INC.,○,○,40401,EN,○
110,チーム5,グローバルエンジニアリングユニット,"American Gas Products, Inc.",○,○,40402,EN,○
111,チーム5,グローバルエンジニアリングユニット,"Arizona Air Pro, LLC",○,,40406,EN,○
112,チーム5,グローバルエンジニアリングユニット,"Noble Gas Solutions, LLC",○,○,40403,EN,○
113,チーム5,グローバルエンジニアリングユニット,Phoenix Welding Supply LLC,○,○,40405,EN,○
114,チーム5,グローバルエンジニアリングユニット,PT. Power Partners Indonesia,○,,40601,EN,
115,チーム5,グローバルエンジニアリングユニット,ADVANCED CRITICAL TECHNOLOGY SDN. BHD.,○,,40602,EN,
116,チーム5,グローバルエンジニアリングユニット,AWI-GENZ GLOBAL PRIVATE LIMITED,○,,40603,EN,
117,チーム5,グローバルエンジニアリングユニット,Critical Systems Services Private Limited,○,,40604,EN,
118,チーム5,グローバルエンジニアリングユニット,"Power Partners Taiwan Co., Ltd.",○,,40605,EN,
119,チーム5,グローバルエンジニアリングユニット,Power Partners (Vietnam) LLC,○,,40606,EN,
120,チーム5,グローバルエンジニアリングユニット,M1 Engineering Limited,○,,40701,EN,○
121,チーム5,グローバルエンジニアリングユニット,M1 Engineering (IE) Limited(休眠中),,,,EN,
122,チーム5,グローバルエンジニアリングユニット,"Albany Welding Supply Co, LLC(休眠中)",,,40404,EN,
123,チーム5,グローバルエンジニアリングユニット,HITEC Holding B.V.,○,○,40500,EN,○
124,チーム5,グローバルエンジニアリングユニット,HITEC Power Protection B.V.,○,,40502,EN,
125,チーム5,グローバルエンジニアリングユニット,HITEC Power Protection (Far East) B.V.,○,,40507,EN,
